title,score_phrase,score,genre,editors_choice
The Walking Dead: A Telltale Game Series -- Season One,Amazing,9.3,Adventure,Y
New Super Mario Bros. U,Amazing,9.1,Platformer,Y
Nintendo Land,Great,8.7,Party,Y
ARC Squadron,Good,7.3,"Flight, Action",N
Ninja Gaiden III: Razor's Edge,Good,7.6,Action,N
The Walking Dead -- Game of the Year Edition,Amazing,9.3,Adventure,Y
Real Boxing,Good,7.6,Sports,N
Crashmo,Amazing,9.5,"Puzzle, Action",Y
PlanetSide 2,Amazing,9.0,Shooter,Y
Strike Suit Zero,Good,7.5,Shooter,N
Final Fantasy: All The Bravest,Painful,2.5,RPG,N
Tokyo Crash Mobs,Good,7.7,"Puzzle, Action",N
Ni no Kuni: Wrath of the White Witch,Amazing,9.4,RPG,Y
Marvel's The Avengers: Battle For Earth,Mediocre,5.0,Action,N
Borderlands 2: Sir Hammerlock's Big Game Hunt,Okay,6.9,"Shooter, RPG",N
Chasing Aurora,Okay,6.0,Action,N
Adventure Time: Hey Ice King! Why'd You Steal Our Garbage?,Great,8.5,Adventure,Y
Warriors Orochi 3 Hyper,Good,7.0,Action,N
Skylanders Battlegrounds,Okay,6.6,Action,N
Rage of the Gladiator,Good,7.6,Action,N
Family Guy: Back to the Multiverse,Okay,6.0,Adventure,N
Little Inferno,Mediocre,5.0,Puzzle,N
Minigore 2: Zombies,Amazing,9.1,Shooter,Y
Forge,Good,7.0,Shooter,N
Nancy Drew: The Deadly Device,Okay,6.8,Adventure,N
Into the Dead,Good,7.0,Action,N
Just Dance 4,Mediocre,5.3,Music,N
DmC: Devil May Cry,Great,8.9,Action,Y
Unchained Blades,Great,8.0,RPG,N
The Earth Defense Force 2017 Portable,Good,7.5,Action,N
Wraithborne,Mediocre,5.2,Action,N
Persona 4 Golden,Amazing,9.3,RPG,Y
Rabbids Land,Mediocre,5.0,Party,N
Tekken Tag Tournament 2: Wii U Edition,Good,7.5,Fighting,N
Far Cry 3,Amazing,9.0,Shooter,Y
Little Chomp,Great,8.0,Action,N
Trine 2: Director's Cut,Amazing,9.0,Action,Y
LEGO The Lord of the Rings [Portable],Awful,3.8,"Action, Adventure",N
LEGO The Lord of the Rings,Okay,6.8,"Action, Adventure",N
Writer Rumble,Great,8.2,"Puzzle, Word Game",N
Mass Effect,Amazing,9.0,RPG,Y
Guilty Gear XX Accent Core Plus,Great,8.3,Fighting,N
Uncharted: Fight For Fortune,Good,7.0,"Card, Battle",N
Modern Combat 4: Zero Hour,Good,7.8,Shooter,N
Wonderbook: Book  of Spells,Okay,6.0,"Simulation, Adventure",N
Rift: Storm Legion,Great,8.3,RPG,N
Joe Danger,Amazing,9.1,Action,Y
Anarchy Reigns,Mediocre,5.9,Action,N
Kentucky Route Zero: Act 1,Great,8.3,Adventure,N
Primordia,Okay,6.8,Adventure,N
Mutant Mudds,Amazing,9.1,Platformer,Y
Mass Effect 3 (Special Edition),Amazing,9.5,RPG,N
Nano Assault Neo,Amazing,9.0,Shooter,Y
Disney Epic Mickey: Power of Illusion,Good,7.0,"Action, Adventure",N
Borderlands 2: Mr. Torgue's Campaign of Carnage,Amazing,9.2,"Shooter, RPG",Y
PlayStation All-Stars Battle Royale,Great,8.0,Fighting,N
Jetpack Joyride,Good,7.4,Platformer,N
The Walking Dead: Assault,Good,7.5,Adventure,N
Miasmata,Good,7.9,Adventure,N
Bladeslinger: Episode 1,Good,7.2,Action,N
Funky Barn,Mediocre,5.0,Simulation,N
ESPN Sports Connection,Awful,3.0,Sports,N
Infestation: Survivor Stories,Awful,3.0,Action,N
Labyrinth Legends,Good,7.7,RPG,N
Ace of Spades,Mediocre,5.9,Shooter,N
Monsters Inc. Run,Good,7.7,Action,N
Pudding Monsters,Good,7.3,"Puzzle, Adventure",N
NFL Quarterback Club '97,Mediocre,5.0,Sports,N
Namco Museum Vol. 2,Okay,6.0,"Action, Compilation",N
Raven Project,Awful,3.0,Action,N
Silverload,Okay,6.0,Adventure,N
Return Fire,Good,7.0,Action,N
Rise 2: Resurrection,Painful,2.0,Fighting,N
Robo Pit,Okay,6.5,Fighting,N
NBA ShootOut,Okay,6.0,Sports,N
Beyond The Beyond,Bad,4.0,RPG,N
Crash Bandicoot,Good,7.5,Platformer,N
Bust-A-Move 2: Arcade Edition,Great,8.0,Puzzle,N
CyberSpeed,Mediocre,5.0,Racing,N
D,Good,7.0,Adventure,N
Assault Rigs,Okay,6.0,Action,N
ESPN Extreme Games,Mediocre,5.0,Sports,N
Doom (1993),Good,7.0,Shooter,N
Bottom of the 9th,Great,8.0,Sports,N
Adidas Power Soccer,Good,7.0,Sports,N
Agile Warrior F-111X,Painful,2.0,Action,N
Alien Trilogy,Great,8.0,Action,N
Alone in the Dark: One Eyed Jack's Revenge,Okay,6.0,Adventure,N
Fade to Black,Good,7.0,Adventure,N
Die Hard Trilogy,Good,7.5,Action,N
Discworld,Good,7.0,Adventure,N
Battle Arena Toshinden 2,Okay,6.0,Fighting,N
A-Train,Okay,6.0,Strategy,N
Casper -- A Haunting 3D Challenge,Bad,4.0,Action,N
Bogey Dead 6,Okay,6.0,"Flight, Action",N
Namco Museum Vol. 1,Great,8.0,"Action, Compilation",N
Road & Track Presents: The Need for Speed,Good,7.0,Racing,N
Romance of the Three Kingdoms IV: Wall of Fire,Okay,6.0,Strategy,N
